Company,Growth_Score,Growth_Change_Q,Heat_Score,Heat_Change,Business_Score,Headcount,News,News_Sentiment,News_Count,market
Kimley-Horn,,,92,14,74.0,7500.5,"Kimley-Horn: Seattle TechFlash — Firefly Park development 'on schedule' despite new tariffs ~ Kimley-Horn: Daily Herald — Barrington to revamp downtown streetscape with planters, seat walls, new trees ~ Kimley-Horn: The Orlando Sentinel — $270K study may finally answer: Why does Mount Dora smell funny? ~ Kimley-Horn: St Pete Catalyst — Optimism blooms for Pinellas Trail activation in St. Pete",0.245675,4,Dallas/Ft Worth
Kimley-Horn,,,92,14,74.0,7500.5,"Kimley-Horn: Seattle TechFlash — Firefly Park development 'on schedule' despite new tariffs ~ Kimley-Horn: Daily Herald — Barrington to revamp downtown streetscape with planters, seat walls, new trees ~ Kimley-Horn: The Orlando Sentinel — $270K study may finally answer: Why does Mount Dora smell funny? ~ Kimley-Horn: St Pete Catalyst — Optimism blooms for Pinellas Trail activation in St. Pete",0.245675,4,Dallas/Ft Worth
Square,87.0,-7.0,84,22,94.0,3000.5,"Square: PYMNTS.com — Earnings Season Points to Point of Sale’s Evolution Beyond the Cash Register ~ Square: EIN Presswire — Payment Service Provider Market to Hit $140.91 Billion By 2034, Powering Seamless Transactions ~ Square: PYMNTS.com — Square Launches Customizable Unified POS App ~ Square: EIN Presswire — POS Software Market to Hit $45.05 Billion By 2030, Streamlining Retail Operations With POS Software",0.09545,4,San Francisco
Square,87.0,-7.0,84,22,94.0,3000.5,"Square: PYMNTS.com — Earnings Season Points to Point of Sale’s Evolution Beyond the Cash Register ~ Square: EIN Presswire — Payment Service Provider Market to Hit $140.91 Billion By 2034, Powering Seamless Transactions ~ Square: PYMNTS.com — Square Launches Customizable Unified POS App ~ Square: EIN Presswire — POS Software Market to Hit $45.05 Billion By 2030, Streamlining Retail Operations With POS Software",0.09545,4,San Francisco
Flexport,88.0,1.0,70,11,89.0,3000.5,"Flexport: Business Insider — The worst is yet to come: Trump's tariffs could mean even higher prices and empty shelves within weeks ~ Flexport: Boston Globe — Trump keeps contradicting himself on tariffs, making a fragile world economy nervous ~ Flexport: Benzinga.com — Trump's Trade War Causes Sharp Decline In US Imports From China ~ Flexport: Business Standard India — Trump's mixed signals on tariffs make fragile global economy nervous",-0.527225,4,Manhattan
Flexport,88.0,1.0,70,11,89.0,3000.5,"Flexport: Business Insider — The worst is yet to come: Trump's tariffs could mean even higher prices and empty shelves within weeks ~ Flexport: Boston Globe — Trump keeps contradicting himself on tariffs, making a fragile world economy nervous ~ Flexport: Benzinga.com — Trump's Trade War Causes Sharp Decline In US Imports From China ~ Flexport: Business Standard India — Trump's mixed signals on tariffs make fragile global economy nervous",-0.527225,4,Manhattan
Morgan Stanley,61.0,-7.0,94,17,,14350.160035907811,"Morgan Stanley: eyeofriyadh.com — PIF's AviLease closes $1.5B revolving credit facility ~ Morgan Stanley: Yahoo Finance — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: Business Insider — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: StreetInsider.com — Mphasis Ltd. (MPHL:IN) PT Raised to INR2,650 at Morgan Stanley",-0.15150000000000002,4,Manhattan
Morgan Stanley,61.0,6.0,94,17,,14350.160035907811,"Morgan Stanley: eyeofriyadh.com — PIF's AviLease closes $1.5B revolving credit facility ~ Morgan Stanley: Yahoo Finance — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: Business Insider — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: StreetInsider.com — Mphasis Ltd. (MPHL:IN) PT Raised to INR2,650 at Morgan Stanley",-0.15150000000000002,4,Dallas/Ft Worth
Morgan Stanley,61.0,-7.0,94,17,,14350.160035907811,"Morgan Stanley: eyeofriyadh.com — PIF's AviLease closes $1.5B revolving credit facility ~ Morgan Stanley: Yahoo Finance — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: Business Insider — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: StreetInsider.com — Mphasis Ltd. (MPHL:IN) PT Raised to INR2,650 at Morgan Stanley",-0.15150000000000002,4,Manhattan
Morgan Stanley,61.0,-7.0,94,17,,14350.160035907811,"Morgan Stanley: eyeofriyadh.com — PIF's AviLease closes $1.5B revolving credit facility ~ Morgan Stanley: Yahoo Finance — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: Business Insider — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: StreetInsider.com — Mphasis Ltd. (MPHL:IN) PT Raised to INR2,650 at Morgan Stanley",-0.15150000000000002,4,Manhattan
Morgan Stanley,61.0,-7.0,94,17,,14350.160035907811,"Morgan Stanley: eyeofriyadh.com — PIF's AviLease closes $1.5B revolving credit facility ~ Morgan Stanley: Yahoo Finance — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: Business Insider — Wall Street's fear of an AI slowdown is 'laughable,' Morgan Stanley says ~ Morgan Stanley: StreetInsider.com — Mphasis Ltd. (MPHL:IN) PT Raised to INR2,650 at Morgan Stanley",-0.15150000000000002,4,Manhattan
South College,,,78,6,,175.5,,0.0,1,Dallas/Ft Worth
Kimley-Horn,,,92,14,74.0,7500.5,"Kimley-Horn: Seattle TechFlash — Firefly Park development 'on schedule' despite new tariffs ~ Kimley-Horn: The Orlando Sentinel — $270K study may finally answer: Why does Mount Dora smell funny? ~ Kimley-Horn: Daily Herald — Barrington to revamp downtown streetscape with planters, seat walls, new trees ~ Kimley-Horn: St Pete Catalyst — Optimism blooms for Pinellas Trail activation in St. Pete",0.245675,4,Dallas/Ft Worth
Kimley-Horn,,,92,14,74.0,7500.5,"Kimley-Horn: Seattle TechFlash — Firefly Park development 'on schedule' despite new tariffs ~ Kimley-Horn: The Orlando Sentinel — $270K study may finally answer: Why does Mount Dora smell funny? ~ Kimley-Horn: Daily Herald — Barrington to revamp downtown streetscape with planters, seat walls, new trees ~ Kimley-Horn: St Pete Catalyst — Optimism blooms for Pinellas Trail activation in St. Pete",0.245675,4,Dallas/Ft Worth
Edward Jones,77.0,13.0,91,25,44.0,10598.46413103272,"Edward Jones: PR Newswire — Edward Jones Accelerates Value for Clients through New Products, Services and Capabilities ~ Edward Jones: Seattle TechFlash — The National Observer: Shifting market drives change among financial giants ~ Edward Jones: Globe and Mail — For many women, divorce kick-starts a crash course in money management ~ Edward Jones: Seattle TechFlash — Edward Jones chief Penny Pennington on market volatility, home office shake-up",-0.015474999999999989,4,Dallas/Ft Worth
Edward Jones,77.0,13.0,91,25,44.0,10598.46413103272,"Edward Jones: PR Newswire — Edward Jones Accelerates Value for Clients through New Products, Services and Capabilities ~ Edward Jones: Seattle TechFlash — The National Observer: Shifting market drives change among financial giants ~ Edward Jones: Globe and Mail — For many women, divorce kick-starts a crash course in money management ~ Edward Jones: Seattle TechFlash — Edward Jones chief Penny Pennington on market volatility, home office shake-up",-0.015474999999999989,4,Dallas/Ft Worth
Edward Jones,77.0,13.0,91,25,44.0,10598.46413103272,"Edward Jones: PR Newswire — Edward Jones Accelerates Value for Clients through New Products, Services and Capabilities ~ Edward Jones: Seattle TechFlash — The National Observer: Shifting market drives change among financial giants ~ Edward Jones: Globe and Mail — For many women, divorce kick-starts a crash course in money management ~ Edward Jones: Seattle TechFlash — Edward Jones chief Penny Pennington on market volatility, home office shake-up",-0.015474999999999989,4,Dallas/Ft Worth
Edward Jones,77.0,13.0,91,25,44.0,10598.46413103272,"Edward Jones: PR Newswire — Edward Jones Accelerates Value for Clients through New Products, Services and Capabilities ~ Edward Jones: Seattle TechFlash — The National Observer: Shifting market drives change among financial giants ~ Edward Jones: Globe and Mail — For many women, divorce kick-starts a crash course in money management ~ Edward Jones: Seattle TechFlash — Edward Jones chief Penny Pennington on market volatility, home office shake-up",-0.015474999999999989,4,Dallas/Ft Worth
Edward Jones,77.0,13.0,91,25,44.0,10598.46413103272,"Edward Jones: PR Newswire — Edward Jones Accelerates Value for Clients through New Products, Services and Capabilities ~ Edward Jones: Seattle TechFlash — The National Observer: Shifting market drives change among financial giants ~ Edward Jones: Globe and Mail — For many women, divorce kick-starts a crash course in money management ~ Edward Jones: Seattle TechFlash — Edward Jones chief Penny Pennington on market volatility, home office shake-up",-0.015474999999999989,4,Dallas/Ft Worth
Edward Jones,77.0,0.0,91,25,44.0,10598.46413103272,"Edward Jones: PR Newswire — Edward Jones Accelerates Value for Clients through New Products, Services and Capabilities ~ Edward Jones: Seattle TechFlash — The National Observer: Shifting market drives change among financial giants ~ Edward Jones: Globe and Mail — For many women, divorce kick-starts a crash course in money management ~ Edward Jones: Seattle TechFlash — Edward Jones chief Penny Pennington on market volatility, home office shake-up",-0.015474999999999989,4,Manhattan
Gartner,92.0,22.0,93,37,,7500.5,"Gartner: Fierce Network — Why China is so far ahead on private wireless, and other interesting 5G tidbits ~ Gartner: Computerworld — Freelancers now represent more than one in four US workers ~ Gartner: EIN Presswire — XMPro Named as a Specialist Vendor in Gartner® Report: Best Practices Preparing for Agentic and AI Agent Services ~ Gartner: PR Newswire — Selector identified by Gartner® as a Representative Vendor in the 2025 Market Guide for Event Intelligence Solutions",0.43185,4,San Francisco
Gartner,92.0,29.0,93,37,,7500.5,"Gartner: Fierce Network — Why China is so far ahead on private wireless, and other interesting 5G tidbits ~ Gartner: Computerworld — Freelancers now represent more than one in four US workers ~ Gartner: EIN Presswire — XMPro Named as a Specialist Vendor in Gartner® Report: Best Practices Preparing for Agentic and AI Agent Services ~ Gartner: PR Newswire — Selector identified by Gartner® as a Representative Vendor in the 2025 Market Guide for Event Intelligence Solutions",0.43185,4,Dallas/Ft Worth
Gartner,92.0,16.0,93,37,,7500.5,"Gartner: Fierce Network — Why China is so far ahead on private wireless, and other interesting 5G tidbits ~ Gartner: Computerworld — Freelancers now represent more than one in four US workers ~ Gartner: EIN Presswire — XMPro Named as a Specialist Vendor in Gartner® Report: Best Practices Preparing for Agentic and AI Agent Services ~ Gartner: PR Newswire — Selector identified by Gartner® as a Representative Vendor in the 2025 Market Guide for Event Intelligence Solutions",0.43185,4,Manhattan
Gartner,92.0,29.0,93,37,,7500.5,"Gartner: Fierce Network — Why China is so far ahead on private wireless, and other interesting 5G tidbits ~ Gartner: Computerworld — Freelancers now represent more than one in four US workers ~ Gartner: EIN Presswire — XMPro Named as a Specialist Vendor in Gartner® Report: Best Practices Preparing for Agentic and AI Agent Services ~ Gartner: PR Newswire — Selector identified by Gartner® as a Representative Vendor in the 2025 Market Guide for Event Intelligence Solutions",0.43185,4,Dallas/Ft Worth
Citadel,94.0,-3.0,77,14,82.0,3000.5,Citadel: Business Insider — Welcome to the 'dollar bear market.' Here's what top voices are saying about the greenback's decline. ~ Citadel: CBC — A 'madman' penalty: Are Trump's actions eroding U.S. economic power? ~ Citadel: GlobalFinTechSeries — Theo Raises $20M to Democratize Access to Institutional-Grade Trading Infrastructure ~ Citadel: Livemint.com — Ken Griffin Criticizes Trump Tariffs: ‘These Jobs Are Not Coming Back’,-0.05322500000000001,4,Manhattan
Citadel,94.0,-3.0,77,14,82.0,3000.5,Citadel: Business Insider — Welcome to the 'dollar bear market.' Here's what top voices are saying about the greenback's decline. ~ Citadel: CBC — A 'madman' penalty: Are Trump's actions eroding U.S. economic power? ~ Citadel: GlobalFinTechSeries — Theo Raises $20M to Democratize Access to Institutional-Grade Trading Infrastructure ~ Citadel: Livemint.com — Ken Griffin Criticizes Trump Tariffs: ‘These Jobs Are Not Coming Back’,-0.05322500000000001,4,Manhattan
Citadel,94.0,-3.0,77,14,82.0,3000.5,Citadel: Business Insider — Welcome to the 'dollar bear market.' Here's what top voices are saying about the greenback's decline. ~ Citadel: CBC — A 'madman' penalty: Are Trump's actions eroding U.S. economic power? ~ Citadel: GlobalFinTechSeries — Theo Raises $20M to Democratize Access to Institutional-Grade Trading Infrastructure ~ Citadel: Livemint.com — Ken Griffin Criticizes Trump Tariffs: ‘These Jobs Are Not Coming Back’,-0.05322500000000001,4,Manhattan
Citadel,94.0,-3.0,77,14,82.0,3000.5,Citadel: Business Insider — Welcome to the 'dollar bear market.' Here's what top voices are saying about the greenback's decline. ~ Citadel: CBC — A 'madman' penalty: Are Trump's actions eroding U.S. economic power? ~ Citadel: GlobalFinTechSeries — Theo Raises $20M to Democratize Access to Institutional-Grade Trading Infrastructure ~ Citadel: Livemint.com — Ken Griffin Criticizes Trump Tariffs: ‘These Jobs Are Not Coming Back’,-0.05322500000000001,4,Manhattan
Intercom,87.0,-9.0,88,24,77.0,750.5,"Intercom: Silicon Republic — Anthropic plans European expansion with 100 new jobs ~ Intercom: The Currency — Corporate rocket fuel: How to choose the right funding option for scaling a start-up ~ Intercom: The New Stack — From Seats to Success: Building Flexible SaaS Pricing for AI Products ~ Intercom: SalesTech Star — Tidio’s AI Agent Lyro Achieves Industry-Leading Customer Support Resolution Rates, Outperforming Intercom",0.270675,4,San Francisco
Adams Street Partners,77.0,-10.0,81,-4,,375.5,Adams Street Partners: Buyouts — San Bernardino launches debut private equity emerging manager program ~ Adams Street Partners: Private Debt Investor — Geopolitical concerns impacting majority of LPs’ investment decisions – report ~ Adams Street Partners: Alternative Credit Investor — Private markets allocations predicted to rise by two thirds of financial advisers ~ Adams Street Partners: Business Wire — Adams Street’s 2025 Advisor Outlook Highlights Rising Demand for Access to Private Markets,-0.026850000000000013,4,Manhattan
Egon Zehnder,81.0,-20.0,91,21,48.0,3000.5,"Egon Zehnder: mint — Crisis-hit IndusInd draws top search firms scouting for mandate to find new CEO ~ Egon Zehnder: Business Wire — Prioritizing Long-Term Leadership Approaches, Egon Zehnder Announces New Global Financial Services Co-Leaders ~ Egon Zehnder: mint — Companies News Today Live Updates on March 26, 2025: Crisis-hit IndusInd draws top search firms scouting for mandate to find new CEO ~ Egon Zehnder: HMG Strategy — Just Five Days Away! Garden State C-suite executives can Register Now for HMG Strategy’s 17th Annual New Jersey C-Level Technology Leadership Summit of America on April 29",0.10115,4,Manhattan
Spaces,91.0,-4.0,55,4,88.0,175.5,"Spaces: Geeky Gadgets — New Perplexity Spaces Feature Enhancing AI Research and Collaboration ~ Spaces: ACN Newswire — SPACES: Digital Innovation Meets Contemporary Art at Phillips ~ Spaces: PRWeb — Space Codesign Systems is breaking new ground with its SpaceStudio GNSS Workbench ~ Spaces: Tech Times — AI Platform Hugging Face Spaces Hacked, Member Authentication Secrets Exposed",0.04427499999999999,4,Manhattan
Spaces,91.0,-4.0,55,4,88.0,175.5,"Spaces: Geeky Gadgets — New Perplexity Spaces Feature Enhancing AI Research and Collaboration ~ Spaces: ACN Newswire — SPACES: Digital Innovation Meets Contemporary Art at Phillips ~ Spaces: PRWeb — Space Codesign Systems is breaking new ground with its SpaceStudio GNSS Workbench ~ Spaces: Tech Times — AI Platform Hugging Face Spaces Hacked, Member Authentication Secrets Exposed",0.04427499999999999,4,Manhattan
Spaces,91.0,-4.0,55,4,88.0,175.5,"Spaces: Geeky Gadgets — New Perplexity Spaces Feature Enhancing AI Research and Collaboration ~ Spaces: ACN Newswire — SPACES: Digital Innovation Meets Contemporary Art at Phillips ~ Spaces: PRWeb — Space Codesign Systems is breaking new ground with its SpaceStudio GNSS Workbench ~ Spaces: Tech Times — AI Platform Hugging Face Spaces Hacked, Member Authentication Secrets Exposed",0.04427499999999999,4,Manhattan
Spaces,91.0,2.0,55,4,88.0,175.5,"Spaces: Geeky Gadgets — New Perplexity Spaces Feature Enhancing AI Research and Collaboration ~ Spaces: ACN Newswire — SPACES: Digital Innovation Meets Contemporary Art at Phillips ~ Spaces: PRWeb — Space Codesign Systems is breaking new ground with its SpaceStudio GNSS Workbench ~ Spaces: Tech Times — AI Platform Hugging Face Spaces Hacked, Member Authentication Secrets Exposed",0.04427499999999999,4,San Francisco
Spaces,91.0,-4.0,55,4,88.0,175.5,"Spaces: Geeky Gadgets — New Perplexity Spaces Feature Enhancing AI Research and Collaboration ~ Spaces: ACN Newswire — SPACES: Digital Innovation Meets Contemporary Art at Phillips ~ Spaces: PRWeb — Space Codesign Systems is breaking new ground with its SpaceStudio GNSS Workbench ~ Spaces: Tech Times — AI Platform Hugging Face Spaces Hacked, Member Authentication Secrets Exposed",0.04427499999999999,4,Manhattan
Spaces,91.0,-4.0,55,4,88.0,175.5,"Spaces: Geeky Gadgets — New Perplexity Spaces Feature Enhancing AI Research and Collaboration ~ Spaces: ACN Newswire — SPACES: Digital Innovation Meets Contemporary Art at Phillips ~ Spaces: PRWeb — Space Codesign Systems is breaking new ground with its SpaceStudio GNSS Workbench ~ Spaces: Tech Times — AI Platform Hugging Face Spaces Hacked, Member Authentication Secrets Exposed",0.04427499999999999,4,Manhattan
Spaces,91.0,-4.0,55,4,88.0,175.5,"Spaces: Geeky Gadgets — New Perplexity Spaces Feature Enhancing AI Research and Collaboration ~ Spaces: ACN Newswire — SPACES: Digital Innovation Meets Contemporary Art at Phillips ~ Spaces: PRWeb — Space Codesign Systems is breaking new ground with its SpaceStudio GNSS Workbench ~ Spaces: Tech Times — AI Platform Hugging Face Spaces Hacked, Member Authentication Secrets Exposed",0.04427499999999999,4,Manhattan
Spaces,91.0,-4.0,55,4,88.0,175.5,"Spaces: Geeky Gadgets — New Perplexity Spaces Feature Enhancing AI Research and Collaboration ~ Spaces: ACN Newswire — SPACES: Digital Innovation Meets Contemporary Art at Phillips ~ Spaces: PRWeb — Space Codesign Systems is breaking new ground with its SpaceStudio GNSS Workbench ~ Spaces: Tech Times — AI Platform Hugging Face Spaces Hacked, Member Authentication Secrets Exposed",0.04427499999999999,4,Manhattan
Spaces,91.0,9.0,55,4,88.0,175.5,"Spaces: Geeky Gadgets — New Perplexity Spaces Feature Enhancing AI Research and Collaboration ~ Spaces: ACN Newswire — SPACES: Digital Innovation Meets Contemporary Art at Phillips ~ Spaces: PRWeb — Space Codesign Systems is breaking new ground with its SpaceStudio GNSS Workbench ~ Spaces: Tech Times — AI Platform Hugging Face Spaces Hacked, Member Authentication Secrets Exposed",0.04427499999999999,4,Dallas/Ft Worth
Spaces,91.0,9.0,55,4,88.0,175.5,"Spaces: Geeky Gadgets — New Perplexity Spaces Feature Enhancing AI Research and Collaboration ~ Spaces: ACN Newswire — SPACES: Digital Innovation Meets Contemporary Art at Phillips ~ Spaces: PRWeb — Space Codesign Systems is breaking new ground with its SpaceStudio GNSS Workbench ~ Spaces: Tech Times — AI Platform Hugging Face Spaces Hacked, Member Authentication Secrets Exposed",0.04427499999999999,4,Dallas/Ft Worth
Raytheon,83.0,5.0,82,10,,11659.293261320681,"Raytheon: SlashGear.com — How Can Helicopters And Planes Detect And Sink Submarines? ~ Raytheon: Business Insider — It looks like a StormBreaker may have landed intact in Yemen, raising the risk the US bomb could fall into the wrong hands ~ Raytheon: Łukasiewicz Research Network – Institute of Aviation — Aerodays 2025: A Conference on the Future of European Aviation Comes to Poland for the First Time ~ Raytheon: Research and Markets — Advanced Millimeter-Wave Reflectors and Repeaters Market Forecast, 2024-2033: Telecom Giants Drive Growth in mmWave Reflectors and Repeaters with 5G Deployment",-0.016875,4,Dallas/Ft Worth
Charles Schwab,94.0,2.0,94,16,,10680.456703848922,"Charles Schwab: Investing — This online brokerage is a buy in this uncertain market environment, Goldman Sachs says ~ Charles Schwab: StreetInsider.com — Goldman Sachs Upgrades Charles Schwab Corp. (SCHW) to Buy ~ Charles Schwab: Morningstar.com — Municipal bonds are now a bargain thanks to Trump's tariff turmoil ~ Charles Schwab: Vice — Teens Are Using ChatGPT to Invest in the Stock Market",-0.01630000000000001,4,Dallas/Ft Worth
Charles Schwab,94.0,2.0,94,16,,10680.456703848922,"Charles Schwab: Investing — This online brokerage is a buy in this uncertain market environment, Goldman Sachs says ~ Charles Schwab: StreetInsider.com — Goldman Sachs Upgrades Charles Schwab Corp. (SCHW) to Buy ~ Charles Schwab: Morningstar.com — Municipal bonds are now a bargain thanks to Trump's tariff turmoil ~ Charles Schwab: Vice — Teens Are Using ChatGPT to Invest in the Stock Market",-0.01630000000000001,4,Dallas/Ft Worth
Charles Schwab,94.0,-5.0,94,16,,10680.456703848922,"Charles Schwab: Investing — This online brokerage is a buy in this uncertain market environment, Goldman Sachs says ~ Charles Schwab: StreetInsider.com — Goldman Sachs Upgrades Charles Schwab Corp. (SCHW) to Buy ~ Charles Schwab: Morningstar.com — Municipal bonds are now a bargain thanks to Trump's tariff turmoil ~ Charles Schwab: Vice — Teens Are Using ChatGPT to Invest in the Stock Market",-0.01630000000000001,4,San Francisco
Charles Schwab,94.0,-11.0,94,16,,10680.456703848922,"Charles Schwab: Investing — This online brokerage is a buy in this uncertain market environment, Goldman Sachs says ~ Charles Schwab: StreetInsider.com — Goldman Sachs Upgrades Charles Schwab Corp. (SCHW) to Buy ~ Charles Schwab: Morningstar.com — Municipal bonds are now a bargain thanks to Trump's tariff turmoil ~ Charles Schwab: Vice — Teens Are Using ChatGPT to Invest in the Stock Market",-0.01630000000000001,4,Manhattan
Charles Schwab,94.0,-5.0,94,16,,10680.456703848922,"Charles Schwab: Investing — This online brokerage is a buy in this uncertain market environment, Goldman Sachs says ~ Charles Schwab: StreetInsider.com — Goldman Sachs Upgrades Charles Schwab Corp. (SCHW) to Buy ~ Charles Schwab: Morningstar.com — Municipal bonds are now a bargain thanks to Trump's tariff turmoil ~ Charles Schwab: Vice — Teens Are Using ChatGPT to Invest in the Stock Market",-0.01630000000000001,4,San Francisco
Cleanis,,,73,12,44.0,30.5,,0.0,1,Dallas/Ft Worth
The Michael Group,,,78,-5,88.0,750.5,,0.0,1,Dallas/Ft Worth
CMA,91.0,10.0,47,8,90.0,30.5,"CMA: Computer World New Zealand — CMA probe of Google, Anthropic ‘a precautionary’ move: Analyst ~ CMA: The Standard — CMA probe shortfalls will leave consumers still at risk from rogue traders ~ CMA: TechTrendsKE — HF Group Secures CMA Approval for Rights Issue ~ CMA: IT PRO — Industry body hits out at CMA following launch of Google, Anthropic merger probe",0.08537499999999999,4,Dallas/Ft Worth
CMA,91.0,10.0,47,8,90.0,30.5,"CMA: Computer World New Zealand — CMA probe of Google, Anthropic ‘a precautionary’ move: Analyst ~ CMA: The Standard — CMA probe shortfalls will leave consumers still at risk from rogue traders ~ CMA: TechTrendsKE — HF Group Secures CMA Approval for Rights Issue ~ CMA: IT PRO — Industry body hits out at CMA following launch of Google, Anthropic merger probe",0.08537499999999999,4,Dallas/Ft Worth
Blue Star Sports,4.0,4.0,42,0,,175.5,"Blue Star Sports: Telegraph India — Offbeat sporting careers might be your calling ~ Blue Star Sports: Forbes India — Brands look to score big with IPL ~ Blue Star Sports: Arkansas Online — Neighbors' outlook sunny for 2019-20 ~ Blue Star Sports: Startup Around — With Reliance Jio, Spotify and Sony as clients, Cameraah aims to make AR effortless for brands",0.105375,4,Dallas/Ft Worth
Velocis Management,,,74,6,87.0,3000.5,Velocis: Business Journals — Velocis responds as Austin suburbs sue to stop its industrial project ~ Velocis: Business Journals — Austin suburb joins lawsuit against Velocis' industrial project,-0.26115,2,Dallas/Ft Worth
Velocis Management,,,74,6,87.0,3000.5,Velocis: Business Journals — Velocis responds as Austin suburbs sue to stop its industrial project ~ Velocis: Business Journals — Austin suburb joins lawsuit against Velocis' industrial project,-0.26115,2,Dallas/Ft Worth
Domus Development,,,89,23,60.0,5.5,,0.0,1,Dallas/Ft Worth
Laz Parking,70.0,8.0,93,31,84.0,7500.5,"LAZ Parking: Hartford Business Journal — New special taxing district eyed for massive Port Eastside development in East Hartford ~ LAZ Parking: citybiz — LAZ Parking Acquires FleetLogix ~ LAZ Parking: GlobeNewswire News Room — $138.18 Bn Parking Lots and Garages Market Trends, Opportunities and Strategies, 2018-2023, 2028F, 2033F ~ LAZ Parking: Venture Capital — Packsize Bolsters Global Leadership Through Acquisition of Sparck Technologies",0.195925,4,Dallas/Ft Worth
Alvarez & Marsal,66.0,-10.0,92,10,84.0,13717.556923185923,Alvarez & Marsal: Telegraph — Treasury borrowing surges as non-doms flee Britain ~ Alvarez & Marsal: Tech in Asia — Indian healthcare firm ex-CEO challenges ouster in court ~ Alvarez & Marsal: Winnipeg Free Press — Hudson’s Bay sees interest in 65 of its leases: court documents ~ Alvarez & Marsal: Edmonton Sun — Hudson’s Bay sees interest in 65 of its leases: Court documents,0.370325,4,Manhattan
Alvarez & Marsal,66.0,-10.0,92,10,84.0,13717.556923185923,Alvarez & Marsal: Telegraph — Treasury borrowing surges as non-doms flee Britain ~ Alvarez & Marsal: Tech in Asia — Indian healthcare firm ex-CEO challenges ouster in court ~ Alvarez & Marsal: Winnipeg Free Press — Hudson’s Bay sees interest in 65 of its leases: court documents ~ Alvarez & Marsal: Edmonton Sun — Hudson’s Bay sees interest in 65 of its leases: Court documents,0.370325,4,Manhattan
Alvarez & Marsal,66.0,-10.0,92,10,84.0,13717.556923185923,Alvarez & Marsal: Telegraph — Treasury borrowing surges as non-doms flee Britain ~ Alvarez & Marsal: Tech in Asia — Indian healthcare firm ex-CEO challenges ouster in court ~ Alvarez & Marsal: Winnipeg Free Press — Hudson’s Bay sees interest in 65 of its leases: court documents ~ Alvarez & Marsal: Edmonton Sun — Hudson’s Bay sees interest in 65 of its leases: Court documents,0.370325,4,Manhattan
